acronym,circulating_supply,market_cap,market_cap_currency_exchange,name,price,price_currency_exchange,variance_percent,volume,volume_currency_exchange
MOVE,2.35 B,1.35 B,USD,Movement,0.57515,USD,−1.47%,206.59 M,USD
BONK,77.15 T,1.34 B,USD,Bonk,1.7304e-05,USD,+2.32%,138.07 M,USD
GRT,9.55 B,1.25 B,USD,The Graph,0.13109,USD,+0.21%,65.32 M,USD
WLD,996.57 M,1.23 B,USD,Worldcoin,1.2362,USD,+1.11%,225.2 M,USD
S,2.88 B,1.22 B,USD,Sonic (prev. FTM),0.42407,USD,−2.23%,85.41 M,USD
JASMY,49.44 B,1.11 B,USD,JasmyCoin,0.022431,USD,+2.66%,91.83 M,USD
QNT,12.07 M,1.08 B,USD,Quant,89.841,USD,+4.85%,32.92 M,USD
SEI,4.43 B,991.58 M,USD,Sei,0.2237,USD,+0.61%,93.87 M,USD
SAND,2.45 B,940.04 M,USD,The Sandbox,0.38434,USD,+2.64%,121.84 M,USD
EOS,1.55 B,923.42 M,USD,EOS,0.59764,USD,+3.07%,125.77 M,USD
ENS,35.5 M,916.19 M,USD,Ethereum Name Service,25.81,USD,−1.27%,111.76 M,USD
XTZ,1.03 B,878.98 M,USD,Tezos,0.85419,USD,+2.25%,41.24 M,USD
FLOKI,9.61 T,865.17 M,USD,FLOKI,9.002e-05,USD,+0.81%,161.53 M,USD
NEXO,646.15 M,853.62 M,USD,Nexo,1.3211,USD,−1.53%,10.87 M,USD
XCN,30.79 B,867.55 M,USD,Onyxcoin,0.028176,USD,−0.27%,179.63 M,USD
BTT,986.06 T,853.62 M,USD,BitTorrent-New,8.6569e-07,USD,+1.47%,24.56 M,USD
IOTA,3.63 B,824 M,USD,IOTA,0.22691,USD,+7.20%,51.42 M,USD
MKR,880.43 K,815.24 M,USD,Maker,925.95,USD,+2.87%,87.79 M,USD
GALA,36.91 B,812.62 M,USD,Gala,0.022015,USD,+4.18%,128.03 M,USD
BSV,19.82 M,784.93 M,USD,Bitcoin SV,39.599,USD,+1.97%,51.62 M,USD
KAIA,5.94 B,782.94 M,USD,Kaia,0.13183,USD,−0.75%,27.48 M,USD
